ID,Приоритет теста,Модуль,Название,Предусловия,Тестовые данные,Шаги,Ожидаемый результат,Статус прохождения тест-кейса
TK-12,High,Форма авторизации,Неуспешная авторизация с вводом SQL-инъекции,1. Пользователь существует в системе 2. Открыта страница формы авторизации,"1. “Логин”: SELECT username,password FROM users WHERE username='user' or 1 = 1 --' AND password='xxxx' LIMIT 0,1
 
2. “Пароль"": rutigbWEQ4786",1. Ввести запрос из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображён введённый запрос",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""","3. Пользователь не авторизован, отображено предупреждение о небезопасности вводимых данных в поле ""Логин""",
,,,,,,,,
TK-13,High,Форма авторизации,Время отклика страницы формы авторизации не превышает 3 секунды,1. У пользователя есть секундомер,,1. Открыть страницу формы авторизации,"1. Открыта страница формы с полями ввода ""Логин"", ""Пароль"" и кнопкой ""Sign in""",PASSED
,,,,,,2. Измерить время отклика страницы формы,2. Время отклика страницы не превышает 3 секунды,
,,,,,,,,
TK-14,High,Форма авторизации,Правильное отображение формы в популярных браузерах,"1. У пользователя установлены браузеры: Google Chrome, Mozilla Firefox, Яндекс Браузер, Microsoft Edge",,1. Открыть форму авторизации в браузере Google Chrome,1. Открыта страница формы авторизации,PASSED
,,,,,,2. Убедиться в корректном отображении формы авторизации,"2. Вёрстка формы отображена правильно, поля формы и кнопка входа не пересекаются, не наезжают друг на друга, поля формы и кнопка входа не выходят за границы экрана",
,,,,,,3. Открыть форму авторизации в браузере Mozilla Firefox,3. Открыта страница формы авторизации,
,,,,,,4. Убедиться в корректном отображении формы авторизации,"4. Вёрстка формы отображена правильно, поля формы и кнопка входа не пересекаются, не наезжают друг на друга, поля формы и кнопка входа не выходят за границы экрана",
,,,,,,5. Открыть форму авторизации в браузере Яндекс Браузер,5. Открыта страница формы авторизации,
,,,,,,6. Убедиться в корректном отображении формы авторизации,"6. Вёрстка формы отображена правильно, поля формы и кнопка входа не пересекаются, не наезжают друг на друга, поля формы и кнопка входа не выходят за границы экрана",
,,,,,,7. Открыть форму авторизации в браузере Microsoft Edge,7. Открыта страница формы авторизации,
,,,,,,8. Убедиться в корректном отображении формы авторизации,"8. Вёрстка формы отображена правильно, поля формы и кнопка входа не пересекаются, не наезжают друг на друга, поля формы и кнопка входа не выходят за границы экрана",
,,,,,,,,
TK-15,High,Форма авторизации,Правильное отображение формы при смене локали,"1. Открыта страница формы авторизации
2. Текущая локаль - английская EN",,1. Сменить текущую локаль на французскую FR в правом верхнем углу страницы,"1. Названия полей формы ""Логин"", ""Пароль"" и кнопки ""Sign in"" корректно переведены на французский язык",PASSED
,,,,,,,,
TK-16,High,Форма авторизации,Правильная работа формы в режиме для слабовидящих людей,1. Открыта страница формы авторизации,,1. Переключить страницу формы в режим для слабовидящих,"1. Поля формы, названия полей и вводимый текст имеют увеличенный размер",PASSED
,,,,,,,,
TK-17,High,Форма авторизации,Пользователь остаётся в системе после аварийного завершения работы устройства,1. Открыта страница формы авторизации,"1. “Логин”: Tommy
2. ""Пароль"": Y76#$%NKKKtre",1. Ввести значение из тестовых данных в поле  “Логин”,"1. В поле ""Логин"" отображено введённое значение",PASSED
,,,,,,2. Ввести значение из тестовых данных в поле  “Пароль”,"2. В поле ""Пароль"" отображено введённое значение",
,,,,,,"3. Нажать кнопку ""Sign in""",3. Пользователь авторизован в системе,
,,,,,,4. Отключить питание устройства,4. Устройство выключено,
,,,,,,5. Включить устройство,5. Устройство работает,
,,,,,,6. Открыть страницу формы авторизации,"6. Пользователь авторизован в системе, открыта страница профиля с личными данными",
